id,neighbourhood,latitude,longitude,room_type,price,year
29149377,East Village,40.72545,-73.97975,Entire home/apt,250,2021
29149612,Astoria,40.76677,-73.91385,Private room,55,2021
29150883,Upper West Side,40.78561,-73.97488,Entire home/apt,215,2021
29152320,East New York,40.66657,-73.87338,Entire home/apt,98,2021
29152899,Williamsburg,40.71117,-73.93796,Private room,49,2021
29153170,Crown Heights,40.67495,-73.92084,Entire home/apt,180,2021
29153508,Downtown Brooklyn,40.69173,-73.98501,Entire home/apt,135,2021
29155787,Upper East Side,40.77366633,-73.94549936,Private room,89,2021
29158689,Bedford-Stuyvesant,40.69735,-73.93714,Entire home/apt,275,2021
29159920,East Village,40.72193,-73.98364,Entire home/apt,93,2021
29165823,Bedford-Stuyvesant,40.68263,-73.95307,Private room,73,2021
29167257,Concourse,40.82124,-73.92913,Entire home/apt,150,2021
29168569,East Flatbush,40.65374,-73.93608,Private room,56,2021
29170235,East Flatbush,40.65211,-73.93761,Private room,56,2021
29170953,Bushwick,40.69207,-73.91186,Private room,58,2021
29174021,Bedford-Stuyvesant,40.68552,-73.94311,Private room,50,2021
29176205,Midtown,40.753,-73.97065,Entire home/apt,148,2021
29180542,Harlem,40.81309,-73.94357,Entire home/apt,279,2021
29181179,East Harlem,40.78666,-73.9488,Private room,161,2021
29181449,Bedford-Stuyvesant,40.68888,-73.95248,Private room,53,2021
29181504,East Village,40.73023,-73.9806,Entire home/apt,165,2021
29183581,Little Italy,40.71959,-73.99794,Entire home/apt,204,2021
29184626,Brownsville,40.66213,-73.91827,Private room,86,2021
29189777,Bushwick,40.69506,-73.92691,Entire home/apt,165,2021
29202087,Greenpoint,40.71905,-73.95272,Entire home/apt,205,2021
29203530,Sunset Park,40.64564,-74.01245,Entire home/apt,35,2021
29203845,Bedford-Stuyvesant,40.69541,-73.94572,Entire home/apt,159,2021
29205817,Harlem,40.82599,-73.94217,Private room,45,2021
29209379,Kensington,40.63622,-73.97637,Private room,41,2021
29209396,Bushwick,40.70572,-73.91927,Private room,63,2021
29210994,Kensington,40.63782,-73.97805,Private room,33,2021
29213095,Kensington,40.63765,-73.97616,Private room,32,2021
29213886,Bushwick,40.68873,-73.91524,Entire home/apt,96,2021
29214672,Bushwick,40.70624,-73.91769,Entire home/apt,130,2021
29215351,Williamsburg,40.70754,-73.96556,Entire home/apt,178,2021
29215529,Kips Bay,40.74119,-73.98184,Entire home/apt,399,2021
29215541,Ozone Park,40.6808,-73.85489,Entire home/apt,135,2021
29216706,Jamaica,40.67265,-73.78085,Private room,100,2021
29220176,Morningside Heights,40.80468,-73.96343,Private room,89,2021
29220437,Crown Heights,40.66898,-73.9232,Entire home/apt,110,2021
29222825,Harlem,40.81912,-73.93989,Entire home/apt,295,2021
29225417,Upper West Side,40.789856,-73.973145,Entire home/apt,307,2021
29230470,East Village,40.73084,-73.98327,Entire home/apt,116,2021
29231943,East Village,40.72917,-73.98278,Private room,157,2021
29232638,Cypress Hills,40.68078,-73.88298,Entire home/apt,179,2021
29234058,Astoria,40.76596,-73.91797,Private room,70,2021
29237220,West Village,40.73927,-74.00936,Entire home/apt,1185,2021
29237561,East Village,40.72915,-73.98015,Entire home/apt,200,2021
29237692,Sunset Park,40.64548,-74.01264,Private room,50,2021
29237852,Woodhaven,40.69177,-73.86238,Private room,120,2021
29242564,Astoria,40.76555,-73.92345,Private room,64,2021
29242599,Upper East Side,40.78547,-73.95122,Entire home/apt,384,2021
29243499,Bedford-Stuyvesant,40.69184,-73.95787,Private room,69,2021
29253322,Woodhaven,40.69132,-73.86082,Private room,100,2021
29256134,Downtown Brooklyn,40.69851,-73.99134,Entire home/apt,117,2021
29256229,Crown Heights,40.67539,-73.94162,Entire home/apt,205,2021
29256358,Borough Park,40.64402,-73.99751,Entire home/apt,92,2021
29259580,Midtown,40.75271,-73.97067,Entire home/apt,265,2021
29260051,Crown Heights,40.67426,-73.94673,Entire home/apt,89,2021
29261640,Inwood,40.86282,-73.9223,Entire home/apt,130,2021
29262039,Forest Hills,40.71146,-73.85219,Entire home/apt,107,2021
29264282,Canarsie,40.63979,-73.8967,Private room,75,2021
29269102,East Flatbush,40.64919,-73.93056,Private room,58,2021
29275537,Two Bridges,40.71247,-73.99398,Private room,78,2021
29280869,Lower East Side,40.7183,-73.98903,Private room,70,2021
29281115,Greenpoint,40.72753,-73.95273,Private room,110,2021
29281407,Greenpoint,40.72639,-73.94652,Entire home/apt,1485,2021
29283634,Williamsburg,40.70371,-73.93326,Entire home/apt,1000,2021
29285414,Harlem,40.79971,-73.94811,Private room,107,2021
29293564,Woodside,40.74368,-73.90908,Private room,50,2021
29294153,Astoria,40.76829,-73.92435,Private room,53,2021
29295665,Midtown,40.76546,-73.97689,Private room,429,2021
29298335,Williamsburg,40.71942,-73.94046,Private room,119,2021
29299404,Upper West Side,40.79768,-73.96167,Entire home/apt,105,2021
29301424,Sunset Park,40.66333,-73.99351,Entire home/apt,70,2021
29301889,Crown Heights,40.67663,-73.91751,Private room,102,2021
29302018,Astoria,40.76528,-73.92349,Entire home/apt,90,2021
29303036,Bushwick,40.69573,-73.93227,Private room,100,2021
29303103,Midtown,40.74719,-73.98954,Entire home/apt,120,2021
29303639,Midtown,40.76435,-73.98026,Private room,209,2021
29304787,Springfield Gardens,40.68105,-73.7552,Private room,70,2021
29307957,Crown Heights,40.6753,-73.95227,Private room,59,2021
29308138,Midtown,40.75591,-73.97157,Private room,359,2021
29309886,Inwood,40.86391,-73.92418,Entire home/apt,60,2021
29310070,Upper East Side,40.76871,-73.95665,Entire home/apt,130,2021
29311332,Kips Bay,40.7415,-73.98146,Entire home/apt,169,2021
